Data Source,World Development Indicators,Last Updated Date,2018-06-28,Unnamed: 4
76.368,76.288,76.199,76.102,
62.7423805952028,62.2360743090763,61.7294857301087,61.2230189394325,
91.45,91.555,91.648,91.73,
33.355,33.158,32.953,32.741,
27.109,26.603,26.113,25.637,
41.218,40.283,39.38,38.511,
69.099,68.392,67.684,66.977,
84.234,83.899,83.556,83.206,
30.518,30.305,30.085,29.86,
37.087638201395,36.2412966395481,35.4260174083841,34.6398249886897,
4.848,4.68899999999999,4.54000000000001,4.399,
18.553,18.383,18.212,18.04,
63.722,63.635,63.521,63.38,
49.8,49.45,49.101,48.753,
11.059,11.01,10.957,10.902,
54.128,53.814,53.498,53.18,
4.797,4.66500000000001,4.541,4.42400000000001,
67.049,66.407,65.764,65.121,
74.183,73.872,73.559,73.246,
46.6232844387834,46.1604545923483,45.7063336702796,45.2614504221939,
80.74,80.902,81.045,81.17,
65.973,65.394,64.813,64.231,
35.702,35.199,34.705,34.218,
59.528,59.078,58.621,58.16,
67.499,67.624,67.723,67.793,
